days,0.044
sets,0.0365
forehead,0.0005
george,0.0235
hes,0.0715
saddles,0.0015
inflation,0.001
streets,0.0135
plays,0.09
sissy,0.0005
leg,0.003
pictures,0.0175
entertainment,0.036
brooks,0.002
inspire,0.0035
world,0.1325
war,0.036
goddard,0.001
bracelet,0.002
carlin,0.0005
moneybr,0.002
agreements,0.0005
film,0.533
survivors,0.005
kill,0.029
human,0.059
lessonbr,0.0005
life,0.1935
sailor,0.0035
maybe,0.0545
succeeds,0.0115
buildings,0.0035
using,0.0295
homelessness,0.0015
divorce,0.0085
including,0.0425
ann,0.0095
tender,0.0075
considered,0.0165
prior,0.0065
deciding,0.004
instead,0.049
stated,0.0045
people,0.2355
plot,0.139
school,0.0415
step,0.0085
bet,0.0055
isnt,0.089
cause,0.014
vagrant,0.0005
lesley,0.001
stinks,0.001
iraq,0.002
project,0.0105
love,0.211
wilson,0.003
pressuring,0.0005
monopoly,0.0005
found,0.081
woman,0.0725
computer,0.011
vote,0.0095
thrown,0.0115
dont,0.216
bolt,0.001
reaching,0.003
flight,0.0125
films,0.2105
kids,0.058
pepto,0.001
pals,0.0015
stupid,0.017
lost,0.048
move,0.029
wall,0.013
howard,0.007
issue,0.0065
plan,0.0205
meets,0.033
fumes,0.0005
observant,0.001
day,0.1
technology,0.0075
connection,0.0105
cant,0.095
stars,0.0525
characters,0.216
comedy,0.096
houselessness,0.0005
theyll,0.003
racism,0.0045
month,0.008
rival,0.009
blazing,0.002
name,0.036
help,0.0805
street,0.0315
bolts,0.0005
exdancer,0.0005
streetsbr,0.0005
theyre,0.0305
money,0.054
mutual,0.0055
molly,0.0085
slapstick,0.004
matter,0.041
rich,0.02
fight,0.036
elections,0.0005
thirty,0.0015
compared,0.0245
morris,0.0025
wasnt,0.058
valuable,0.0035
killedbr,0.0015
home,0.0565
frankenstein,0.002
live,0.076
luxuries,0.0005
warren,0.0125
sidewalk,0.001
written,0.052
mel,0.0045
homeless,0.0035
succeed,0.003
future,0.0285
jeffery,0.0015
tambor,0.001
nickname,0.0015
directs,0.0035
bathroom,0.0045
bets,0.001
worrying,0.003
treasure,0.0085
teddy,0.002
spaceballs,0.0005
monitor,0.001
hand,0.038
losing,0.0095
lawyer,0.0055
accused,0.0065
