bad,0.3485
drunk,0.0095
bit,0.0745
didnt,0.172
sea,0.0125
hijacked,0.0005
preparation,0.001
middle,0.026
submerged,0.001
followed,0.0145
banker,0.001
leaking,0.0005
suffocate,0.0005
george,0.023
tv,0.086
tension,0.0135
preferring,0.0005
involved,0.0445
businessman,0.0025
navigator,0.0005
extra,0.0085
facing,0.001
familiar,0.0135
michael,0.0325
action,0.097
sending,0.003
add,0.03
opportunity,0.016
worker,0.004
credits,0.0295
original,0.0775
dead,0.06
period,0.018
arent,0.034
sir,0.0045
cut,0.0395
thriller,0.02
decent,0.0515
liked,0.046
spectacular,0.0045
necessarily,0.0065
expected,0.0345
fashions,0.001
video,0.0485
doesnt,0.1635
stevens,0.004
setpieces,0.002
pride,0.0045
film,0.5275
urgency,0.001
frail,0.001
effects,0.087
survivors,0.0055
floods,0.001
sinking,0.002
interior,0.0025
lethargic,0.002
joe,0.01
mount,0.001
minutes,0.144
properlybr,0.0005
maybe,0.1005
outbr,0.009
jetliner,0.0005
inside,0.0215
dull,0.05
lack,0.0455
crew,0.02
await,0.0005
navy,0.0025
passengers,0.0015
including,0.025
jack,0.015
classic,0.0365
shame,0.0285
little,0.187
reckon,0.0025
theres,0.0945
steal,0.0045
pataki,0.0005
cargo,0.0015
run,0.046
excitement,0.011
bang,0.005
values,0.021
ideas,0.0245
theatrical,0.008
paintings,0.002
unfortunately,0.0635
entertaining,0.045
orientated,0.0005
plot,0.239
design,0.01
flown,0.001
concorde,0.0005
airline,0.001
isolated,0.002
tile,0.0005
runs,0.009
quinlan,0.0005
actually,0.1485
thats,0.1325
rig,0.001
pretty,0.142
isnt,0.112
worried,0.003
directed,0.043
popular,0.017
strip,0.0055
generated,0.0025
unsympathetic,0.0045
wilson,0.0035
boring,0.0955
model,0.0075
patroni,0.0005
ocean,0.0035
kennedy,0.003
starts,0.047
winner,0.0055
acting,0.2625
jinxed,0.0005
alright,0.014
idea,0.0825
plane,0.014
dont,0.293
versions,0.007
monte,0.001
supply,0.0035
films,0.1815
direction,0.0585
shouldnt,0.014
sequence,0.0235
foxworth,0.001
water,0.0135
discovery,0.004
badly,0.0365
gas,0.0095
real,0.1265
ships,0.004
harsh,0.006
means,0.031
plan,0.0185
look,0.1465
daughter,0.0335
disaster,0.0155
predecessors,0.002
jameson,0.001
cant,0.145
museum,0.001
jerry,0.0015
barely,0.0215
worse,0.0805
dated,0.0045
scenes,0.159
sunken,0.001
board,0.0085
characters,0.2065
toobr,0.005
bodies,0.0135
robert,0.018
time,0.344
hijacking,0.0005
island,0.017
horrible,0.07
short,0.0585
oscar,0.013
vips,0.0005
cross,0.0075
takes,0.062
control,0.0125
knock,0.0055
air,0.022
sit,0.0315
help,0.0585
midair,0.0005
slightly,0.02
belonging,0.0005
triangle,0.0025
danger,0.0085
makers,0.018
entertained,0.0115
dilemma,0.0045
forgotten,0.0095
pick,0.0115
james,0.0265
adventure,0.0085
planned,0.0025
odd,0.0255
silly,0.0445
nice,0.0525
version,0.0485
sequel,0.025
smashhit,0.0005
flick,0.0495
rich,0.0145
loses,0.0095
am,0.099
son,0.0265
mistake,0.02
awards,0.001
miles,0.0045
bunch,0.0365
sinks,0.0035
lots,0.0265
estate,0.0045
stays,0.003
hour,0.0525
lemmon,0.0005
couple,0.06
luxury,0.0025
stewart,0.0015
valuable,0.0055
favourite,0.004
poseidon,0.0005
suspense,0.021
grant,0.004
home,0.0525
slow,0.042
looks,0.098
philip,0.002
missed,0.0185
production,0.0635
julie,0.0025
bland,0.019
footage,0.024
flashbacks,0.012
helicopters,0.002
loaded,0.003
flesh,0.007
trapped,0.0065
plenty,0.024
markham,0.0005
choices,0.007
doors,0.003
fast,0.0235
brand,0.0035
sequels,0.008
christopher,0.014
disused,0.001
stark,0.0015
pace,0.0175
sort,0.0515
crashing,0.002
sleeping,0.006
drown,0.001
running,0.0375
land,0.0125
huge,0.0305
razzie,0.001
accomplices,0.001
seen,0.214
reasons,0.022
trying,0.1045
copilot,0.0005
dialogue,0.0645
kathleen,0.002
lee,0.029
hall,0.0045
airport,0.0025
public,0.022
flying,0.01
bermuda,0.0005
sluggish,0.0015
shots,0.036
rescue,0.01
near,0.0255
toy,0.0025
bottom,0.0265
happens,0.042
star,0.055
descent,0.0025
hits,0.0105
chambers,0.0005
course,0.072
oil,0.0035
backgroundbr,0.0005
lacking,0.0135
ultimately,0.0185
leading,0.023
lacked,0.0055
nominated,0.002
actors,0.152
else,0.08
finger,0.003
merely,0.0145
play,0.0605
knowbr,0.0035
inevitably,0.003
shared,0.0025
screen,0.0765
princessbr,0.0005
restaurant,0.0025
miscalculated,0.0005
youthful,0.0025
movie,0.657
love,0.1225
skills,0.007
forget,0.029
romantic,0.02
culinary,0.0005
disappointed,0.039
exploits,0.0005
actress,0.039
screenplay,0.0235
chef,0.001
judge,0.0075
yourself,0.038
director,0.1305
translated,0.0025
enamored,0.001
exactly,0.041
chemistry,0.014
charisma,0.006
convinced,0.011
couldnt,0.0805
dark,0.035
loooonnnnng,0.0005
blow,0.0055
brains,0.0045
especially,0.0625
stapleton,0.0005
red,0.0205
scene,0.1585
track,0.0115
handed,0.0045
sorry,0.0395
stuff,0.0445
dress,0.0065
people,0.2355
bergman,0.008
supposed,0.077
screening,0.0075
otherwise,0.0335
photographic,0.0005
art,0.034
performances,0.0405
painful,0.02
sitting,0.0225
sombre,0.0005
guns,0.0105
getting,0.0605
uninspired,0.0085
maureen,0.0005
brutal,0.0095
hard,0.092
excellent,0.0285
absence,0.0025
hours,0.04
im,0.183
enjoyed,0.027
story,0.2625
watch,0.216
talking,0.032
lying,0.008
ripoff,0.0085
wow,0.017
sound,0.0475
fan,0.057
complaining,0.005
dancing,0.01
drenched,0.001
quest,0.0045
muted,0.0025
death,0.0505
speaks,0.0095
favorite,0.0215
worst,0.1675
estrangement,0.0005
affected,0.0035
family,0.0515
directors,0.0375
insistence,0.002
woody,0.005
platitudes,0.001
lives,0.032
watched,0.082
past,0.044
cheese,0.0075
pronounced,0.002
recently,0.0155
method,0.003
parade,0.001
tripe,0.0045
slap,0.0065
martyrs,0.0005
wrought,0.001
desperate,0.015
nicotine,0.0005
lived,0.01
relief,0.0085
truth,0.022
meaning,0.0175
life,0.1365
